lam,lr,dropout,global_r2,global_mae,city_r2,city_mae,city_underprediction,city15_r2,city15_mae,city15_underprediction,pred_max
15,0.0003574757622674248,0.1,0.137434184551239,0.02513338252902031,-2.50386381149292,0.1756548285484314,56.510723,-1.699340581893921,0.13843517005443573,58.14899,0.4110357
30,0.00043288945484520555,0.3,-0.007576107978820801,0.03112623281776905,-2.3736214637756348,0.1715310961008072,54.732506,-1.4878394603729248,0.129233717918396,53.394554,0.33914325
15,0.0005078703056195912,0.2,0.14937585592269897,0.025227421894669533,-2.3361570835113525,0.1737990528345108,55.597496,-1.5583100318908691,0.13434931635856628,55.407352,0.3701295
15,0.0005626706845249977,0.3,0.09425973892211914,0.026976848021149635,-2.6745362281799316,0.18086065351963043,58.68634,-1.718989372253418,0.1356179267168045,57.20575,0.3069896
25,0.000662058909737019,0.3,-0.13642871379852295,0.033872995525598526,-2.1794941425323486,0.16294607520103455,51.421856,-1.290663480758667,0.12016160041093826,47.923935,0.33030796
30,0.0004545418654275632,0.1,-0.01361238956451416,0.03064037300646305,-2.2191765308380127,0.1645207554101944,51.83505,-1.3942551612854004,0.12536674737930298,49.47833,0.44706777
15,0.00083819798836184,0.2,0.14675575494766235,0.02493879571557045,-2.590111017227173,0.17648109793663025,57.34887,-1.697955846786499,0.13425149023532867,55.902798,0.36972204
20,0.0001861688021164688,0.3,0.09598088264465332,0.02814229018986225,-2.4223740100860596,0.17238204181194305,55.549137,-1.5105855464935303,0.12783277034759521,52.92849,0.34125528
30,0.00021583385016821986,0.2,-0.08041083812713623,0.03092784620821476,-1.9978148937225342,0.15565833449363708,48.704044,-1.2616918087005615,0.1209181472659111,47.239227,0.42342588
25,0.0006176430326972583,0.2,-0.05939376354217529,0.030054835602641106,-2.1381287574768066,0.16067980229854584,49.28187,-1.3654448986053467,0.1239316537976265,47.338604,0.38221088
15,0.00014402776748941148,0.1,0.12625926733016968,0.024950385093688965,-2.4442765712738037,0.172649547457695,54.780357,-1.638002872467041,0.13466818630695343,54.145844,0.5126782
20,0.0009477132525687515,0.1,0.08116358518600464,0.026794511824846268,-2.409785747528076,0.17169660329818726,55.042416,-1.5812475681304932,0.13288713991641998,54.99842,0.42470047
25,0.0003477514415970224,0.1,0.01978379487991333,0.02888331189751625,-2.2059848308563232,0.16753791272640228,51.099712,-1.423635482788086,0.12837335467338562,50.818424,0.429608
15,0.0009894082909086286,0.3,0.10342061519622803,0.027099817991256714,-2.4965856075286865,0.17415383458137512,55.820335,-1.6259198188781738,0.1331048607826233,55.55296,0.32501435
15,0.00018468883753058134,0.3,0.034571051597595215,0.02944961190223694,-2.5540924072265625,0.17841149866580963,57.90609,-1.5860648155212402,0.13094066083431244,55.627556,0.3471523
30,0.000808197517562136,0.3,0.07449382543563843,0.02823714166879654,-2.3532564640045166,0.16757605969905853,52.964188,-1.5426108837127686,0.13018839061260223,52.837296,0.33250186
25,0.00039716411289574406,0.3,-0.05764055252075195,0.03179791942238808,-2.3655991554260254,0.17053209245204926,55.12544,-1.4753894805908203,0.12707547843456268,52.72964,0.33193824
30,0.00025013648281771125,0.1,-0.13478827476501465,0.03202814236283302,-2.0487475395202637,0.15869879722595215,49.43847,-1.2917320728302002,0.12248475104570389,48.20032,0.5412078
25,0.00014508752367457572,0.3,0.04467201232910156,0.02920002117753029,-2.5158863067626953,0.17469125986099243,56.65508,-1.5443565845489502,0.12735502421855927,53.791046,0.35288557
25,0.00043124691065743166,0.1,-0.05402529239654541,0.030533432960510254,-2.1188366413116455,0.1640479415655136,51.484894,-1.3856287002563477,0.12852981686592102,50.565052,0.43529797
15,0.000972257000163293,0.3,0.15124326944351196,0.026393333449959755,-2.58723783493042,0.17682397365570068,56.772762,-1.678779125213623,0.13393956422805786,55.862617,0.32604605
15,0.00036730550710436177,0.3,0.1290683150291443,0.025774523615837097,-2.6855342388153076,0.18174244463443756,58.555405,-1.733464241027832,0.13663434982299805,57.726597,0.31024653
25,0.0007436603016450559,0.1,0.00574803352355957,0.029012663289904594,-2.0680947303771973,0.15965883433818817,50.622177,-1.352818489074707,0.1260586380958557,49.853928,0.6561004
30,0.0009698994485544552,0.3,-0.16544342041015625,0.03384457156062126,-2.1577210426330566,0.1603858768939972,50.61692,-1.3015782833099365,0.12010093033313751,46.212112,0.33397412
15,0.00042230902846486154,0.3,0.08938950300216675,0.027322813868522644,-2.397469997406006,0.17152076959609985,54.858208,-1.4838879108428955,0.12733672559261322,52.81868,0.3200109
15,0.0008861621789509297,0.3,0.048967838287353516,0.02923482283949852,-2.538792848587036,0.17779789865016937,56.653667,-1.6221528053283691,0.1331757754087448,55.52644,0.3159175
20,0.0006166814984882043,0.2,0.08541721105575562,0.027516115456819534,-2.263740301132202,0.16481365263462067,52.893925,-1.4446802139282227,0.12608447670936584,51.649803,0.37129498
15,0.0007210612496858083,0.2,0.05064058303833008,0.02775290422141552,-2.3511526584625244,0.16772492229938507,53.219383,-1.5132715702056885,0.12818117439746857,52.41624,0.37199646
30,0.0006284271749420212,0.1,-0.01814258098602295,0.03070824407041073,-2.0754048824310303,0.16210094094276428,49.946117,-1.3214945793151855,0.12527206540107727,49.010498,0.42537132
15,0.00019518044600767804,0.1,0.12419474124908447,0.024754168465733528,-2.406986713409424,0.17604652047157288,56.64532,-1.5925610065460205,0.13495714962482452,56.39678,0.5900595
