loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,oversample_factor,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
huber,15,2.75,2.412335547349347e-05,0.2,8,16,2,32,7.282623237965454e-06,40,0.03762054070830345,0.04901111498475075,0.07371006160974503,0.10333085805177689,0.11628133058547974,0.04716773331165314,0.3027797043323517
weighted_mse,45,2,0.0002284977443393919,0.1,8,16,2,32,2.9085452644781544e-06,20,0.04671294242143631,0.054261498153209686,0.07183703035116196,0.10118421167135239,0.0898001417517662,0.05822883918881416,0.7614538669586182
weighted_mse,28,1.5,3.1488112513625215e-05,0.3,8,32,2,32,0.0003402288573521359,5,0.043201953172683716,0.049951788038015366,0.08052415400743484,0.10578209906816483,0.12419268488883972,0.06683868914842606,0.3538595139980316
huber,28,3.5,0.0003608347474868496,0.1,8,32,2,32,0.0004982085797791601,40,0.03917503356933594,0.04559518024325371,0.09281025826931,0.11621878296136856,0.09735238552093506,0.08749235421419144,0.38135915994644165
weibull,5,2,5.332761337241665e-05,0.3,8,16,3,32,2.917042984046572e-06,40,0.02657262049615383,0.03751606121659279,0.10743853449821472,0.1251554787158966,0.20092113316059113,0.042198535054922104,0.418098509311676
huber,5,2,0.00015673643706718148,0.3,8,32,3,32,8.318078563442497e-06,10,0.02271670289337635,0.03357439860701561,0.13164813816547394,0.14977659285068512,0.12015049159526825,0.1311335563659668,0.25555554032325745
weighted_mse,15,2.75,0.0005190620641775421,0.1,8,16,3,32,1.8257315057603455e-05,20,0.040009621530771255,0.0476694330573082,0.07982050627470016,0.10622011125087738,0.08870583027601242,0.07015790790319443,0.8482248783111572
huber,15,1.5,7.605314331638636e-05,0.2,8,32,2,32,0.00028100130201610604,40,0.03835894167423248,0.04588478058576584,0.07151037454605103,0.09930137544870377,0.09542178362607956,0.05440470576286316,0.35672134160995483
weighted_mse,15,3.5,0.00010320592909157562,0.1,8,32,2,32,0.0003418373288614035,5,0.030154934152960777,0.03751388192176819,0.08462086319923401,0.1105908453464508,0.10220276564359665,0.0734146237373352,0.35309267044067383
weighted_mse,45,3.5,0.00032991085017892394,0.3,8,16,3,32,9.611045737260284e-05,5,0.02738068997859955,0.035962168127298355,0.11947018653154373,0.1412244439125061,0.12126035988330841,0.11868143081665039,0.24817773699760437
weighted_mse,5,1.5,3.771027300216014e-05,0.3,8,16,3,32,2.716128139540598e-05,20,0.06579684466123581,0.07078494876623154,0.06958158314228058,0.10010232031345367,0.09860405325889587,0.06337790936231613,0.29337042570114136
weighted_mse,45,3.5,7.841642988894228e-05,0.3,8,32,2,32,0.00015437051801695065,5,0.03435572609305382,0.04116592928767204,0.08671452105045319,0.11075913161039352,0.11292930692434311,0.0784684494137764,0.34392908215522766
weibull,45,1.5,6.077015682751842e-05,0.3,8,16,2,32,0.0006382076954558826,20,0.03172178193926811,0.03940419852733612,0.0824325904250145,0.10980362445116043,0.10808053612709045,0.07004549354314804,0.34151238203048706
huber,28,2,2.52887530403703e-05,0.3,8,32,2,32,1.251598181098301e-06,40,0.03764421120285988,0.045864421874284744,0.07659158110618591,0.10573066025972366,0.1162843182682991,0.06555615365505219,0.29245904088020325
weighted_mse,15,2.75,0.0002690106061367129,0.2,8,16,2,32,6.24769753888788e-05,20,0.05497843399643898,0.061570461839437485,0.06820165365934372,0.09473029524087906,0.08617492020130157,0.04780694469809532,0.8547449707984924
huber,45,2,0.0002854843801927848,0.2,8,16,3,32,3.1781792318996613e-06,40,0.036441825330257416,0.043338704854249954,0.08198412507772446,0.10882650315761566,0.09462428092956543,0.07405553013086319,0.2786106765270233
weibull,45,2.75,5.8877328428289805e-05,0.2,8,16,3,32,0.0004758467357841855,5,0.030502300709486008,0.038137197494506836,0.09200336039066315,0.11590991169214249,0.12369973957538605,0.08190905302762985,0.36843281984329224
weibull,45,2.75,5.215260075370052e-05,0.2,8,32,2,32,1.0740071444148722e-05,20,0.03211607411503792,0.040369946509599686,0.0814412459731102,0.10979750752449036,0.10957087576389313,0.07442508637905121,0.3073126971721649
huber,5,2.75,1.5884069286661653e-05,0.2,8,16,3,32,0.00013711816239928552,40,0.02752506360411644,0.03705364838242531,0.0865398645401001,0.11517221480607986,0.11045382916927338,0.07806219160556793,0.27568989992141724
huber,15,2,3.149017719636219e-05,0.3,8,32,2,32,2.190577964427868e-06,40,0.04171755537390709,0.049182262271642685,0.07400849461555481,0.10079280287027359,0.11497151851654053,0.05630800873041153,0.3031436800956726
weibull,5,2,1.7748138476691766e-05,0.3,8,32,2,32,0.0006782735809170419,5,0.026353910565376282,0.035721853375434875,0.1331242471933365,0.15288235247135162,0.1997908651828766,0.1331242471933365,0.17659375071525574
huber,45,3.5,2.221995041436927e-05,0.2,8,32,3,32,2.381152908336535e-06,40,0.026883946731686592,0.037128813564777374,0.08313333243131638,0.11238940060138702,0.11395637691020966,0.07306161522865295,0.2806262969970703
weibull,28,2,0.0002244114393550937,0.3,8,16,2,32,1.5765571559109524e-06,20,0.025250619277358055,0.03555877134203911,0.08535074442625046,0.11285602301359177,0.10594169795513153,0.07255581766366959,0.41544660925865173
weighted_mse,5,3.5,0.0007880489579911134,0.1,8,32,3,32,3.6892366312115776e-06,40,0.06649108231067657,0.07197416573762894,0.06458065658807755,0.09357476979494095,0.07577492296695709,0.046577874571084976,0.47168493270874023
weighted_mse,5,1.5,0.0007585060805879782,0.2,8,32,2,32,5.092712794635994e-05,20,0.04980951547622681,0.057142309844493866,0.0695943757891655,0.09708431363105774,0.09185152500867844,0.04799817129969597,0.4095205068588257
weighted_mse,15,2,1.7135165444244592e-05,0.2,8,32,2,32,2.4605275225591943e-06,20,0.05290484428405762,0.059959959238767624,0.07044137269258499,0.0963820219039917,0.10387907177209854,0.0428648516535759,0.39996832609176636
weighted_mse,15,2,1.2905006514333424e-05,0.3,8,16,3,32,0.0008228621077343765,20,0.05380474776029587,0.05939716473221779,0.07681988179683685,0.10442335903644562,0.1115366593003273,0.06885579973459244,0.29253676533699036
weibull,28,2,0.00014711843844701715,0.2,8,16,3,32,0.0008310796573629618,5,0.03448590636253357,0.041473645716905594,0.12910756468772888,0.14687186479568481,0.1253410428762436,0.12902210652828217,0.21795034408569336
huber,45,3.5,8.207219790100729e-05,0.3,8,16,2,32,5.346116496142897e-05,20,0.03156138211488724,0.0425758920609951,0.07919174432754517,0.1074363961815834,0.11719503998756409,0.05134831741452217,0.31499606370925903
weighted_mse,15,3.5,0.00023516293493427225,0.3,8,16,2,32,2.45907384320297e-06,40,0.05711346119642258,0.06391100585460663,0.06571320444345474,0.09479665756225586,0.08997106552124023,0.051486603915691376,0.36677882075309753
huber,45,3.5,1.4204860776986373e-05,0.1,8,32,3,32,2.9141867847291485e-05,20,0.03609676659107208,0.04372098296880722,0.07802965492010117,0.10426709800958633,0.10970551520586014,0.06812413036823273,0.33700865507125854
huber,15,3.5,4.1520872886368006e-05,0.3,8,32,3,32,0.00027301806094417953,10,0.033454857766628265,0.04028377681970596,0.1111946776509285,0.13296915590763092,0.12466906011104584,0.11078440397977829,0.22443155944347382
huber,5,2.75,2.1488795713485535e-05,0.1,8,16,2,32,0.0005242441312472638,5,0.029799265787005424,0.03711162507534027,0.08695847541093826,0.11144110560417175,0.11304004490375519,0.0759965106844902,0.33484014868736267
weibull,15,2.75,2.2359212237226106e-05,0.2,8,32,3,32,1.2378780342044411e-06,40,0.03387957066297531,0.041028883308172226,0.08759405463933945,0.11517485231161118,0.10339247435331345,0.08328559249639511,0.33843836188316345
huber,5,2.75,2.5358014335530776e-05,0.1,8,32,2,32,5.596970500232469e-06,5,0.0319041982293129,0.04031616076827049,0.08597023785114288,0.11212727427482605,0.13067352771759033,0.06630571186542511,0.33586248755455017
weibull,15,2.75,0.0004643021854919266,0.2,8,32,3,32,0.0007379512341737568,40,0.04356313496828079,0.04976919665932655,0.07893915474414825,0.10562527924776077,0.09716946631669998,0.06717832386493683,0.4719037413597107
weibull,15,1.5,0.0004307149300471752,0.1,8,32,2,32,9.159026578734346e-06,10,0.02185559645295143,0.03238964453339577,0.09979485720396042,0.12325697392225266,0.11058363318443298,0.09041447937488556,0.3526153564453125
weibull,15,2,0.0008244697417463081,0.3,8,16,3,32,0.0005707930971961181,20,0.03394763916730881,0.04158531874418259,0.08367428928613663,0.11142951995134354,0.12322258949279785,0.07943417876958847,0.26885002851486206
weibull,15,2,0.000349087750544365,0.2,8,32,2,32,0.0008011172955041312,20,0.03293759748339653,0.03954020515084267,0.09740383923053741,0.11998876929283142,0.10651905834674835,0.09478522092103958,0.3558289408683777
weibull,45,1.5,0.0006682922729499402,0.2,8,32,2,32,9.801823382731952e-05,20,0.03176099807024002,0.040850501507520676,0.07728423923254013,0.10553848743438721,0.10586076229810715,0.06274092942476273,0.3467177450656891
weibull,28,2,4.51093155028078e-05,0.1,8,16,2,32,2.6495355967275053e-06,40,0.04098913073539734,0.04986077547073364,0.0721859410405159,0.1006031185388565,0.09665040671825409,0.04812794551253319,0.37170904874801636
huber,5,1.5,2.5671016811970956e-05,0.3,8,16,3,32,2.6000129816626895e-05,20,0.030968010425567627,0.03987337648868561,0.08506861329078674,0.11432252079248428,0.12012545764446259,0.08057616651058197,0.2722567319869995
huber,5,3.5,4.6228483116440664e-05,0.2,8,32,2,32,2.015956048500715e-05,5,0.031175920739769936,0.038401246070861816,0.09795251488685608,0.1228075698018074,0.13646143674850464,0.09390486031770706,0.2716502547264099
weibull,15,2.75,0.00015717731559467002,0.3,8,32,3,32,1.0281138443628976e-05,5,0.026309072971343994,0.03497900441288948,0.11614835262298584,0.1388079822063446,0.13108068704605103,0.11521203070878983,0.24450352787971497
weibull,5,3.5,1.3899379118888732e-05,0.3,8,32,2,32,0.0005394799896916986,20,0.031153103336691856,0.03860495984554291,0.09250406920909882,0.11838748306035995,0.1605386584997177,0.08682354539632797,0.2834280729293823
weibull,15,3.5,0.000454067586268579,0.1,8,32,3,32,2.7129337425608824e-05,20,0.025223148986697197,0.03541088104248047,0.09028591215610504,0.11681890487670898,0.09810711443424225,0.08144499361515045,0.5545022487640381
weibull,15,2,7.735374726647862e-05,0.1,8,16,3,32,1.0748539498376677e-05,10,0.035403769463300705,0.041784971952438354,0.09281302243471146,0.11723356693983078,0.10793843865394592,0.08947215229272842,0.3229016363620758
huber,5,2.75,1.923513202600635e-05,0.2,8,16,3,32,1.2308181761341533e-05,40,0.036822542548179626,0.04402951896190643,0.08113781362771988,0.11034142971038818,0.10760949552059174,0.07397547364234924,0.28724396228790283
huber,15,1.5,0.00017245843596809638,0.2,8,16,3,32,9.66343558770165e-05,20,0.02807885967195034,0.036156799644231796,0.10179084539413452,0.1260053515434265,0.1044386774301529,0.10036095976829529,0.36890676617622375
weighted_mse,28,3.5,2.8168029927961228e-05,0.3,8,32,3,32,5.970318792371725e-05,40,0.05851063132286072,0.0635581836104393,0.07167362421751022,0.10066400468349457,0.09694412350654602,0.06474181264638901,0.3720656931400299
huber,15,2.75,1.6629347175988058e-05,0.1,8,16,2,32,3.399601980886292e-05,5,0.03190556913614273,0.040926843881607056,0.0840081050992012,0.11154138296842575,0.1294206976890564,0.06127558648586273,0.35465478897094727
weighted_mse,15,2,0.00011993027099847943,0.3,8,32,3,32,1.6985320522287115e-06,40,0.08628332614898682,0.09138982743024826,0.06261316686868668,0.09555358439683914,0.08021784573793411,0.05546839162707329,0.2899343967437744
weibull,5,1.5,0.00014330889517690862,0.3,8,16,2,32,5.557724557471525e-06,10,0.03465121611952782,0.04244178161025047,0.08270101994276047,0.10894571244716644,0.22275549173355103,0.06878575682640076,0.321723997592926
weighted_mse,28,1.5,0.00030628616590788434,0.3,8,32,2,32,0.00019013164295026777,40,0.060291871428489685,0.06700968742370605,0.062355220317840576,0.0914594978094101,0.0870044082403183,0.039801083505153656,0.31418415904045105
weibull,15,3.5,0.00036707549074906673,0.3,8,32,2,32,5.631434955531459e-05,5,0.03352741152048111,0.040962595492601395,0.09384099394083023,0.12053608894348145,0.1280156522989273,0.08868314325809479,0.26186901330947876
huber,15,2,1.4674949196449334e-05,0.2,8,32,2,32,0.0009855183988715522,10,0.031012389808893204,0.03864692524075508,0.08386823534965515,0.1095745638012886,0.11523879319429398,0.07272516936063766,0.3186502158641815
weibull,5,2.75,5.003465262261246e-05,0.3,8,32,2,32,0.0001458461564819706,5,0.031128963455557823,0.03883688151836395,0.12413255125284195,0.14474214613437653,0.1947021335363388,0.12407969683408737,0.20422257483005524
weighted_mse,15,1.5,1.9919538013436648e-05,0.1,8,16,2,32,1.442200562321073e-06,5,0.024878505617380142,0.034826792776584625,0.08858348429203033,0.11027342081069946,0.11926848441362381,0.06713125109672546,0.40382570028305054
huber,5,3.5,1.8304756589056355e-05,0.1,8,32,3,32,0.00013378780430318762,10,0.028903719037771225,0.036557793617248535,0.09198363870382309,0.1160937175154686,0.11536681652069092,0.08618990331888199,0.3386262059211731
weighted_mse,5,2,1.0008133554519108e-05,0.1,8,32,3,32,1.574759934403823e-06,40,0.09328856319189072,0.09768380969762802,0.05919043719768524,0.0864904373884201,0.07831372320652008,0.038144949823617935,0.45922213792800903
