loss_fn,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,oversample_factor,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,city_underprediction,pred_max
weibull,5,3.5,1.5139554913012386e-05,0.1,8,16,3,32,1.969743968788274e-06,5,0.0225744117051363,0.03519246727228165,0.15557342767715454,0.17200292646884918,0.17875339090824127,0.15557342767715454,0.14026035368442535
huber,5,2.75,1.4292816411668404e-05,0.1,8,16,3,32,0.0002767459687804798,5,0.026572998613119125,0.034532785415649414,0.10085322707891464,0.12235447019338608,0.1185033768415451,0.09801167994737625,0.3242126703262329
weighted_mse,15,2.75,2.0573043475672743e-05,0.3,8,32,3,32,2.7679567422966537e-05,20,0.06675258278846741,0.07218480110168457,0.07860790938138962,0.10692240297794342,0.10347418487071991,0.07624953240156174,0.2549249231815338
huber,45,1.5,0.0002005630843662925,0.2,8,32,3,32,0.000587752788489105,5,0.027711639180779457,0.03585226461291313,0.10504823178052902,0.12765033543109894,0.1281619817018509,0.10400170087814331,0.2405344694852829
huber,28,1.5,3.0635445203313614e-05,0.1,8,32,3,32,0.0006374417623275026,5,0.03038223460316658,0.037304606288671494,0.09247558563947678,0.11417896300554276,0.11004431545734406,0.08780533820390701,0.3155815601348877
huber,15,2,0.00059332296863824,0.1,8,16,3,32,9.7609826602111e-05,20,0.02857760526239872,0.03819330409169197,0.07940436154603958,0.10871422290802002,0.11361270397901535,0.07035083323717117,0.2907779812812805
huber,28,1.5,4.796359771598032e-05,0.1,8,32,2,32,1.0769355725761196e-05,40,0.03904719278216362,0.04803169518709183,0.07304481416940689,0.10157981514930725,0.10110744833946228,0.05003903806209564,0.36607688665390015
huber,45,2,3.616280073563215e-05,0.1,8,16,3,32,1.0679212385643689e-06,20,0.0269993394613266,0.03643503785133362,0.08612484484910965,0.11257897317409515,0.10099294036626816,0.07344318181276321,0.40337294340133667
weibull,45,1.5,0.0001013394684324806,0.1,8,32,3,32,0.00036002555325824205,40,0.042730025947093964,0.04950272664427757,0.07985731959342957,0.10659090429544449,0.09174059331417084,0.07037509977817535,0.3529602587223053
huber,5,1.5,0.0006274353708180868,0.2,8,16,3,32,1.0005000852048253e-06,40,0.0238083116710186,0.03459285944700241,0.08422979712486267,0.11384108662605286,0.1003771424293518,0.07837526500225067,0.2711018919944763
weibull,28,2.75,0.0008997295529228392,0.2,8,32,3,32,4.531144360781798e-06,20,0.028886307030916214,0.0378858782351017,0.10115894675254822,0.12493304163217545,0.10223621875047684,0.10000721365213394,0.28908759355545044
weibull,5,1.5,0.00010085780477712924,0.2,8,16,3,32,0.0006713897715846758,20,0.025945600122213364,0.03509083017706871,0.10009577870368958,0.12461129575967789,0.19201001524925232,0.08931728452444077,0.38444945216178894
huber,5,2.75,7.551066794360001e-05,0.3,8,16,2,32,0.0001016152206331332,5,0.02833382412791252,0.03698427230119705,0.09188410639762878,0.1194179505109787,0.12903451919555664,0.08555829524993896,0.27063408493995667
weighted_mse,15,2.75,0.00016595318983613294,0.2,8,16,2,32,7.235746118500171e-06,5,0.023143861442804337,0.03460532799363136,0.09309859573841095,0.11844903230667114,0.11630897969007492,0.06061733141541481,0.4052964150905609
huber,5,3.5,1.7178061061186656e-05,0.3,8,32,2,32,1.7896570081517569e-06,40,0.037090517580509186,0.04534052684903145,0.07672973722219467,0.10539624840021133,0.11822415888309479,0.06478776037693024,0.29040011763572693
huber,45,2.75,0.0002678936039713269,0.2,8,16,3,32,9.83423248909016e-06,5,0.022449146956205368,0.0330527201294899,0.12564677000045776,0.1450508087873459,0.12391498684883118,0.12501902878284454,0.2697789967060089
huber,45,3.5,2.2709893090596193e-05,0.3,8,16,3,32,1.0649222985509193e-06,10,0.03166336938738823,0.039236582815647125,0.09927044063806534,0.1253807097673416,0.13570214807987213,0.09825757145881653,0.24036715924739838
weighted_mse,5,2,7.257994870340286e-05,0.1,8,16,3,32,6.702451780000728e-06,10,0.034219998866319656,0.043433643877506256,0.08164077252149582,0.10616529732942581,0.10350610315799713,0.04433385655283928,0.4993746876716614
huber,45,2,0.00048782497109454504,0.2,8,16,2,32,1.8583742300250643e-06,20,0.024846792221069336,0.036785587668418884,0.08141355961561203,0.11147526651620865,0.10657955706119537,0.07072869688272476,0.28067606687545776
huber,15,3.5,1.364180796579614e-05,0.1,8,16,2,32,0.00012480690875089052,10,0.03343694657087326,0.04178579896688461,0.08288072049617767,0.10912496596574783,0.11872224509716034,0.05739665403962135,0.3870948851108551
weibull,28,3.5,1.2093882552337178e-05,0.3,8,32,2,32,6.821659784106245e-05,10,0.027937613427639008,0.03676874190568924,0.09357960522174835,0.12005879729986191,0.13353367149829865,0.08740837872028351,0.3071129024028778
weibull,15,3.5,1.279465465817349e-05,0.2,8,32,2,32,0.0007793028666254309,10,0.03204556554555893,0.0395948588848114,0.08188270777463913,0.10823556780815125,0.12187793850898743,0.0660785511136055,0.35211819410324097
huber,45,1.5,0.0005307903024585546,0.2,8,32,2,32,7.842521919869934e-06,10,0.02130335196852684,0.03433163836598396,0.0869920626282692,0.1135648563504219,0.11568592488765717,0.06940335780382156,0.28427061438560486
weibull,45,2.75,0.00028144458554554857,0.3,8,32,2,32,1.2287287672141512e-05,5,0.024565884843468666,0.033720653504133224,0.09815752506256104,0.12401855736970901,0.12455408275127411,0.09314091503620148,0.3159737288951874
weibull,28,2,8.05156530874088e-05,0.2,8,32,3,32,5.293492745266756e-06,20,0.03618594631552696,0.0431831069290638,0.0801425501704216,0.10672351717948914,0.1087457686662674,0.06745696067810059,0.32132089138031006
weibull,5,2,0.00016307949661820232,0.1,8,32,3,32,2.0084300318305314e-06,40,0.02989180013537407,0.04057152196764946,0.09704636037349701,0.11824586987495422,0.19375380873680115,0.049452804028987885,0.5128369331359863
weighted_mse,5,3.5,2.6106893409914344e-05,0.1,8,16,3,32,1.3019461029335857e-06,5,0.03605023771524429,0.043280791491270065,0.08391785621643066,0.10980802029371262,0.10962475091218948,0.075877845287323,0.39794355630874634
weighted_mse,28,2,0.00014160392733141356,0.1,8,32,2,32,8.8573343177494e-06,40,0.05432601273059845,0.06043237820267677,0.06896842271089554,0.09653918445110321,0.08315818756818771,0.0385553240776062,0.4163941442966461
weighted_mse,28,3.5,1.9110757714883887e-05,0.2,8,16,3,32,9.922919249677856e-05,10,0.036944836378097534,0.04418780282139778,0.08194615691900253,0.10782816261053085,0.11489814519882202,0.06721658259630203,0.4008510410785675
weibull,5,2.75,5.554198140876777e-05,0.2,8,16,2,32,2.0724558678706196e-05,10,0.023265361785888672,0.0343983955681324,0.13896162807941437,0.158805251121521,0.18980127573013306,0.13896162807941437,0.1913428008556366
weighted_mse,45,3.5,0.0002366316319899764,0.1,8,16,2,32,3.703125857709992e-06,10,0.03962947055697441,0.048122987151145935,0.08043679594993591,0.10178431868553162,0.09806536883115768,0.03986873850226402,0.4315583109855652
weighted_mse,15,1.5,4.1981404557411405e-05,0.3,8,32,2,32,5.566146889236056e-06,40,0.08254357427358627,0.08733493089675903,0.06016019731760025,0.08450436592102051,0.09611298888921738,0.0293029323220253,0.36165666580200195
huber,15,2.75,0.00018259402753176857,0.2,8,32,2,32,6.451689405054238e-05,5,0.028852427378296852,0.03701651096343994,0.08829216659069061,0.11539801210165024,0.121372289955616,0.07719805836677551,0.3377755582332611
huber,5,1.5,2.664476269139357e-05,0.2,8,16,2,32,0.00016147563479282248,20,0.0287250354886055,0.038146231323480606,0.08222740143537521,0.10963406413793564,0.11367198824882507,0.06572435796260834,0.3718838691711426
weibull,5,2.75,5.368536609327306e-05,0.1,8,16,3,32,0.0003555107784266688,20,0.02714027464389801,0.03539716824889183,0.10771877318620682,0.12957046926021576,0.16642339527606964,0.105010986328125,0.33803796768188477
weighted_mse,15,1.5,9.475657798365368e-05,0.3,8,16,2,32,0.00011400663932914516,10,0.041246965527534485,0.048477426171302795,0.07479299604892731,0.10414548963308334,0.10732593387365341,0.06670624762773514,0.31543833017349243
weighted_mse,15,2.75,8.644484673910127e-05,0.1,8,16,2,32,1.8429045273359728e-06,5,0.025976909324526787,0.034875091165304184,0.08901948481798172,0.11254923045635223,0.10540061444044113,0.08069416135549545,0.3631979823112488
weighted_mse,5,1.5,0.0008954283020465186,0.3,8,32,2,32,0.0003837868955358917,40,0.07869850099086761,0.08379391580820084,0.06260758638381958,0.09053412824869156,0.08354683220386505,0.05239526927471161,0.42366886138916016
weibull,15,3.5,2.1323802096261733e-05,0.2,8,32,3,32,1.6561607147396008e-05,10,0.025716353207826614,0.034155383706092834,0.11432339251041412,0.13414089381694794,0.12544848024845123,0.11324260383844376,0.2727102041244507
huber,45,2.75,2.992127738481993e-05,0.1,8,32,2,32,0.00032619966951271144,10,0.03193513676524162,0.03985787183046341,0.0825541615486145,0.10921324044466019,0.11055078357458115,0.06328676640987396,0.3564479649066925
