loss_fn,scale,kappa,alpha,lr,dropout,patch_size,batch_size,n_layers,base_channels,weight_decay,global_mae,global_rmse,city_mae,city_rmse,train_city_rmse,oversample_factor,pred_max
weighted_mse,50,,,0.0002,0.2,16,32,3,64,1e-05,0.04911111295223236,0.05890481546521187,0.08492118865251541,0.11380229145288467,0.07227753102779388,20,0.695335865020752
weighted_mse,50,,,0.0002,0.2,16,32,2,32,1e-05,0.07186881452798843,0.07833756506443024,0.07204633206129074,0.10016915947198868,0.0860748142004013,20,0.4892329275608063
weighted_mse,50,,,0.0002,0.2,8,32,3,32,1e-05,0.05990670248866081,0.06621234863996506,0.07376331835985184,0.10010797530412674,0.08132217079401016,20,0.3726251423358917
weighted_mse,50,,,0.0002,0.2,8,32,2,64,1e-05,0.057369302958250046,0.06568118929862976,0.07375232875347137,0.09813082963228226,0.07862842082977295,20,0.6073567271232605
weighted_mse,50,,,0.0002,0.2,16,32,4,32,1e-05,0.050716716796159744,0.0586884580552578,0.08706861734390259,0.11493925750255585,0.0791124701499939,20,0.5741925835609436
weighted_mse,50,,,0.0002,0.2,8,32,4,64,1e-05,0.05053407698869705,0.056524608284235,0.07989741861820221,0.10492194443941116,0.07930409163236618,20,0.33211347460746765
weighted_mse,50,,,0.0002,0.2,16,32,2,64,1e-05,0.06371694058179855,0.07334362715482712,0.07265385240316391,0.10108456015586853,0.08007973432540894,20,0.4240756332874298
weighted_mse,50,,,0.0002,0.2,8,32,4,32,1e-05,0.04203890264034271,0.04847374185919762,0.1008492112159729,0.12148158252239227,0.0811348408460617,20,0.34045231342315674
weighted_mse,50,,,0.0002,0.2,8,32,2,32,1e-05,0.06162466108798981,0.06958752125501633,0.06421244144439697,0.0911780297756195,0.08127103745937347,20,0.5845272541046143
weighted_mse,50,,,0.0002,0.2,16,32,3,32,1e-05,0.05607920140028,0.06547287106513977,0.07645873725414276,0.10310707241296768,0.08089224249124527,20,0.5698524117469788
weighted_mse,50,,,0.0002,0.2,16,32,2,32,1e-05,0.05401960015296936,0.06408260017633438,0.07805410772562027,0.10701334476470947,0.07835739850997925,20,0.5547119975090027
weighted_mse,50,,,0.0002,0.2,16,32,3,64,1e-05,0.045306622982025146,0.054687488824129105,0.08743449300527573,0.1132381409406662,0.06860877573490143,20,0.6065702438354492
weighted_mse,50,,,0.0002,0.2,16,32,4,64,1e-05,0.04096756502985954,0.04904377833008766,0.09929436445236206,0.1209268793463707,0.06718559563159943,20,0.4871327877044678
weighted_mse,50,,,0.0002,0.2,8,32,3,64,1e-05,0.04646124690771103,0.0545373260974884,0.0831315815448761,0.1077089011669159,0.06724852323532104,20,0.5518386363983154
weighted_mse,50,,,0.0002,0.2,16,32,3,32,1e-05,0.044638652354478836,0.053846485912799835,0.08970267325639725,0.11484803259372711,0.07292088866233826,20,0.5833802223205566
weighted_mse,50,,,0.0002,0.2,16,32,2,64,1e-05,0.0512457899749279,0.0620378740131855,0.0904494896531105,0.11673340946435928,0.07694006711244583,20,0.5416892766952515
weighted_mse,50,,,0.0002,0.2,16,32,4,32,1e-05,0.0421244278550148,0.050236936658620834,0.09237021207809448,0.117644764482975,0.07020440697669983,20,0.48364880681037903
weighted_mse,50,,,0.0002,0.2,8,32,4,32,1e-05,0.040692705661058426,0.04706937074661255,0.09796153008937836,0.11944743245840073,0.07304702699184418,20,0.4333854913711548
weighted_mse,50,,,0.0002,0.2,8,32,2,64,1e-05,0.05189608782529831,0.06136900186538696,0.07880425453186035,0.10420992225408554,0.0706065222620964,20,0.557115375995636
weighted_mse,50,,,0.0002,0.2,8,32,2,32,1e-05,0.05261360853910446,0.06144718453288078,0.074527807533741,0.10269101709127426,0.07478770613670349,20,0.4358280897140503
weighted_mse,50,,,0.0002,0.2,8,32,3,32,1e-05,0.044237371534109116,0.05190854147076607,0.08470005542039871,0.10885355621576309,0.074483722448349,20,0.3958512842655182
weighted_mse,50,,,0.0002,0.2,8,32,2,32,1e-05,0.05261360853910446,0.06144718453288078,0.074527807533741,0.10269101709127426,0.07478770613670349,20,0.4358280897140503
weighted_mse,50,,,0.0002,0.2,8,32,3,64,1e-05,0.04646124690771103,0.0545373260974884,0.0831315815448761,0.1077089011669159,0.06724852323532104,20,0.5518386363983154
weighted_mse,50,,,0.0002,0.2,16,32,2,32,1e-05,0.05401960015296936,0.06408260017633438,0.07805410772562027,0.10701334476470947,0.07835739850997925,20,0.5547119975090027
weighted_mse,50,,,0.0002,0.2,16,32,3,64,1e-05,0.045306622982025146,0.054687488824129105,0.08743449300527573,0.1132381409406662,0.06860877573490143,20,0.6065702438354492
weighted_mse,50,,,0.0002,0.2,16,32,3,32,1e-05,0.044638652354478836,0.053846485912799835,0.08970267325639725,0.11484803259372711,0.07292088866233826,20,0.5833802223205566
weighted_mse,50,,,0.0002,0.2,16,32,4,32,1e-05,0.0421244278550148,0.050236936658620834,0.09237021207809448,0.117644764482975,0.07020440697669983,20,0.48364880681037903
weighted_mse,50,,,0.0002,0.2,8,32,2,64,1e-05,0.05189608782529831,0.06136900186538696,0.07880425453186035,0.10420992225408554,0.0706065222620964,20,0.557115375995636
